Timestamp,Generation,AliveCount,AvgLength,MaxLength,Aggressiveness
2025-12-28 18:08:17,3767,14,1.14,11,0.2143
2025-12-28 18:08:17,3772,19,1.16,11,0.2105
2025-12-28 18:08:17,3779,12,1.33,11,0.2500
2025-12-28 18:08:17,3788,13,1.31,11,0.2308
2025-12-28 18:08:18,3790,11,1.55,11,0.0909
2025-12-28 18:08:18,3797,14,1.71,11,0.0714
2025-12-28 18:08:18,3801,10,2.20,11,0.1000
2025-12-28 18:08:18,3805,16,1.25,11,0.3750
2025-12-28 18:08:18,3811,10,1.20,11,0.2000
2025-12-28 18:08:18,3820,11,1.18,11,0.2727
2025-12-28 18:08:18,3825,16,1.31,11,0.1250
2025-12-28 18:08:18,3831,10,1.40,11,0.0000
2025-12-28 18:08:18,3836,15,1.33,11,0.1333
2025-12-28 18:08:18,3843,18,1.17,11,0.1667
2025-12-28 18:08:18,3849,12,1.58,11,0.0833
2025-12-28 18:08:18,3853,18,1.28,11,0.1667
2025-12-28 18:08:18,3858,13,1.62,11,0.2308
2025-12-28 18:08:18,3860,11,1.64,11,0.1818
2025-12-28 18:08:18,3864,17,1.53,11,0.2353
2025-12-28 18:08:18,3870,11,2.09,11,0.1818
2025-12-28 18:08:18,3876,15,1.53,11,0.2667
2025-12-28 18:08:18,3882,19,1.26,11,0.1053
2025-12-28 18:08:18,3885,16,1.25,11,0.1250
2025-12-28 18:08:18,3893,18,1.17,11,0.1111
2025-12-28 18:08:18,3898,13,1.23,11,0.0000
2025-12-28 18:08:18,3904,17,1.06,11,0.2941
2025-12-28 18:08:18,3908,13,1.00,11,0.2308
2025-12-28 18:08:18,3916,15,1.07,11,0.0667
2025-12-28 18:08:18,3919,12,1.08,11,0.0833
2025-12-28 18:08:18,3926,15,1.20,11,0.0000
2025-12-28 18:08:18,3930,11,1.27,11,0.1818
2025-12-28 18:08:18,3934,17,1.12,11,0.1765
2025-12-28 18:08:18,3940,11,1.27,11,0.0909
2025-12-28 18:08:18,3944,17,1.12,11,0.1176
2025-12-28 18:08:18,3949,12,1.50,11,0.2500
2025-12-28 18:08:18,3953,18,1.39,11,0.1667
2025-12-28 18:08:18,3957,14,1.50,11,0.2143
2025-12-28 18:08:18,3963,18,1.28,11,0.1111
2025-12-28 18:08:18,3970,11,1.82,11,0.0000
2025-12-28 18:08:18,3970,11,1.64,11,0.0909
2025-12-28 18:08:18,3974,17,1.41,11,0.1176
2025-12-28 18:08:18,3981,10,1.40,11,0.1000
2025-12-28 18:08:18,3982,19,1.26,11,0.1579
2025-12-28 18:08:18,3988,13,1.46,11,0.1538
2025-12-28 18:08:18,3993,18,1.39,11,0.0556
2025-12-28 18:08:19,3999,12,1.33,11,0.0833
2025-12-28 18:08:19,4003,18,1.44,11,0.0556
2025-12-28 18:08:19,4012,19,1.58,11,0.1579
2025-12-28 18:08:19,4016,15,1.67,11,0.1333
2025-12-28 18:08:19,4020,11,1.82,11,0.0909
2025-12-28 18:08:19,4024,17,1.82,11,0.1176
2025-12-28 18:08:19,4028,13,1.85,11,0.0769
2025-12-28 18:08:19,4034,17,1.53,11,0.2941
2025-12-28 18:08:19,4038,13,1.69,11,0.2308
2025-12-28 18:08:19,4043,18,1.44,11,0.1111
2025-12-28 18:08:19,4049,12,2.25,11,0.0833
2025-12-28 18:08:19,4056,15,1.67,11,0.0667
2025-12-28 18:08:19,4060,11,2.09,11,0.1818
2025-12-28 18:08:19,4067,14,1.79,11,0.0714
2025-12-28 18:08:19,4071,10,2.50,12,0.0000
2025-12-28 18:08:19,4079,13,1.77,11,0.3077
2025-12-28 18:08:19,4083,19,1.74,11,0.2632
2025-12-28 18:08:19,4089,14,1.86,11,0.1429
2025-12-28 18:08:19,4092,11,2.00,11,0.0909
2025-12-28 18:08:19,4093,10,2.10,11,0.1000
2025-12-28 18:08:19,4102,11,1.82,11,0.2727
2025-12-28 18:08:19,4105,18,1.89,11,0.1667
2025-12-28 18:08:19,4106,17,2.00,11,0.1765
2025-12-28 18:08:19,4114,19,1.79,11,0.1053
2025-12-28 18:08:19,4117,16,2.19,11,0.2500
2025-12-28 18:08:19,4123,10,2.90,11,0.1000
2025-12-28 18:08:19,4126,17,2.59,11,0.1176
2025-12-28 18:08:19,4133,10,4.10,11,0.2000
2025-12-28 18:08:19,4136,17,2.94,11,0.4706
2025-12-28 18:08:19,4144,10,3.30,11,0.3000
2025-12-28 18:08:19,4150,14,2.71,11,0.3571
2025-12-28 18:08:19,4152,12,3.42,12,0.1667
2025-12-28 18:08:19,4156,18,2.00,11,0.2778
2025-12-28 18:08:19,4159,15,2.47,11,0.2000
2025-12-28 18:08:19,4163,11,2.82,11,0.0909
2025-12-28 18:08:19,4167,17,2.59,11,0.2941
2025-12-28 18:08:19,4173,12,2.08,11,0.1667
2025-12-28 18:08:19,4179,16,1.44,11,0.2500
2025-12-28 18:08:19,4184,11,1.91,11,0.3636
2025-12-28 18:08:19,4190,15,1.87,11,0.1333
2025-12-28 18:08:20,4191,14,2.43,11,0.0000
2025-12-28 18:08:20,4192,13,2.46,11,0.0769
2025-12-28 18:08:20,4200,15,2.40,11,0.0000
2025-12-28 18:08:20,4202,13,2.54,11,0.2308
2025-12-28 18:08:20,4208,17,2.29,12,0.0588
2025-12-28 18:08:20,4211,15,2.13,11,0.0000
2025-12-28 18:08:20,4212,14,2.64,11,0.0714
2025-12-28 18:08:20,4219,17,2.53,11,0.1176
2025-12-28 18:08:20,4220,16,2.62,12,0.1875
2025-12-28 18:08:20,4223,14,2.36,11,0.0000
2025-12-28 18:08:20,4226,11,2.91,11,0.0909
2025-12-28 18:08:20,4232,15,2.40,11,0.0000
2025-12-28 18:08:20,4235,12,2.92,11,0.0833
2025-12-28 18:08:20,4237,10,3.40,11,0.1000
2025-12-28 18:08:20,4243,14,3.14,11,0.2857
2025-12-28 18:08:20,4247,10,4.00,11,0.0000
2025-12-28 18:08:20,4251,16,2.69,11,0.0625
2025-12-28 18:08:20,4253,14,3.36,12,0.0714
2025-12-28 18:08:20,4258,19,2.37,12,0.0526
2025-12-28 18:08:20,4263,15,2.47,11,0.1333
2025-12-28 18:08:20,4269,19,1.74,11,0.1053
2025-12-28 18:08:20,4272,16,2.06,11,0.2500
2025-12-28 18:08:20,4278,10,2.90,11,0.2000
2025-12-28 18:08:20,4284,14,2.14,11,0.2143
2025-12-28 18:08:20,4289,19,1.79,11,0.1053
2025-12-28 18:08:20,4293,15,1.67,11,0.2000
2025-12-28 18:08:20,4302,16,1.88,11,0.2500
2025-12-28 18:08:20,4306,12,2.25,11,0.0833
2025-12-28 18:08:20,4311,17,1.88,11,0.1765
2025-12-28 18:08:20,4316,12,2.67,11,0.0000
2025-12-28 18:08:20,4319,19,2.00,11,0.1053
2025-12-28 18:08:20,4324,14,2.71,11,0.2143
2025-12-28 18:08:20,4325,13,2.92,11,0.2308
2025-12-28 18:08:20,4331,17,2.12,11,0.0588
2025-12-28 18:08:20,4337,11,3.00,12,0.0000
2025-12-28 18:08:20,4341,18,1.94,11,0.2222
2025-12-28 18:08:20,4348,11,2.64,11,0.0909
2025-12-28 18:08:20,4350,19,2.32,11,0.2105
2025-12-28 18:08:20,4355,14,2.86,12,0.0000
2025-12-28 18:08:20,4359,10,3.30,11,0.1000
2025-12-28 18:08:20,4362,17,2.53,11,0.1176
2025-12-28 18:08:21,4372,17,2.29,11,0.0588
2025-12-28 18:08:21,4374,15,2.73,11,0.0667
2025-12-28 18:08:21,4379,10,3.70,11,0.1000
2025-12-28 18:08:21,4381,18,2.78,12,0.0556
2025-12-28 18:08:21,4386,14,3.14,12,0.1429
2025-12-28 18:08:21,4388,13,3.08,11,0.0769
2025-12-28 18:08:21,4395,16,2.75,11,0.2500
2025-12-28 18:08:21,4398,13,3.92,11,0.2308
2025-12-28 18:08:21,4405,16,3.12,12,0.2500
2025-12-28 18:08:21,4410,11,3.09,12,0.1818
2025-12-28 18:08:21,4417,14,2.79,12,0.0714
2025-12-28 18:08:21,4420,12,2.83,12,0.0833
2025-12-28 18:08:21,4421,12,2.33,12,0.0833
2025-12-28 18:08:21,4427,16,1.69,12,0.1875
2025-12-28 18:08:21,4430,13,1.77,12,0.1538
2025-12-28 18:08:21,4433,10,2.10,12,0.1000
2025-12-28 18:08:21,4439,14,2.07,12,0.3571
2025-12-28 18:08:21,4442,11,2.27,12,0.4545
2025-12-28 18:08:21,4448,15,1.87,12,0.1333
2025-12-28 18:08:21,4455,18,1.89,12,0.1111
